Stockholm,"(59.332576536175303, 18.0649030208588)"
Suzhou,"(31.311388900000001, 120.61805560000001)"
Sydney,"(-33.867849963938198, 151.20732307434099)"
Taipei,"(25.047763, 121.531846)"
Tashkent,"(41.26464643600054, 69.216270446777344)"
Tehran,"(35.694388776143903, 51.4215087890625)"
Tel Aviv,"(32.080883, 34.780571999999999)"
Tianjin,"(39.142222199999999, 117.1766667)"
Tokyo,"(35.614883682454398, 139.581298828125)"
Toronto,"(43.700113788000003, -79.416304194000006)"
Tripoli,"(32.8751900768792, 13.187456130981399)"
Tunis,"(34.0, 9.0)"
Vancouver,"(49.249657393, -123.119340403)"
Vienna,"(48.208487760165298, 16.3720750808716)"
Warsaw,"(52.229770874701799, 21.011781692504901)"
Washington DC,"(38.895111800000002, -77.036365799999999)"
Wellington,"(-41.286642842580697, 174.77557182312)"
Zurich,"(47.366666700000003, 8.5500000000000007)"
