Abidjan,5.309429,-4.019717,44.67,44.67
Abu Dhabi,24.4666667,54.3666667,73.45,73.45
Adelaide,-34.9333333,138.6,96.59,96.59
Al Khobar,26.2794444,50.2083333,54.16,54.16
Algiers,36.7525017776,3.04196834564,40.19,40.19
Almaty,43.25,76.95,66.69,66.69
Amman,31.9552209002,35.9450340271,64.91,64.91
Amsterdam,52.3740272046,4.88968849182,92.76,92.76
Asuncion,-25.3006567317,-57.6359081268,68.78,68.78
Athens,37.9794539331,23.7162208557,78.69,78.69
Atlanta,33.7489954,-84.3879824,91.07,91.07
Auckland,-36.8666667,174.7666667,95.74,95.74
Bahrain,26.0,50.5,73.40,73.40
Baku,40.3776745826,49.8920059204,60.70,60.70
Bandar Seri Begawan,4.94028963405,114.948062897,65.06,65.06
Bangkok,13.75,100.5166667,65.02,65.02
Barcelona,41.3887868891,2.15898513794,91.23,91.23
Beijing,39.9074977414,116.397228241,76.87,76.87
Belgrade,44.8040064348,20.4651260376,67.22,67.22
Berlin,52.5243681651,13.4105300903,94.01,94.01
Bogota,4.60970584979,-74.0817546844,59.58,59.58
Boston,42.3584308,-71.0597732,90.54,90.54
Bratislava,48.1481640391,17.1067428589,79.83,79.83
Brisbane,-27.4679357322,153.028092384,94.15,94.15
Brussels,50.8504450553,4.34878349304,92.68,92.68
Bucharest,44.4322476193,26.106262207,71.79,71.79
Budapest,47.4980099893,19.0399074554,88.88,88.88
Buenos Aires,-34.6131488101,-58.3772277832,83.61,83.61
Cairo,30.0626314152,31.249666214,53.18,53.18
Calgary,51.050112282,-114.085285152,96.57,96.57
Caracas,10.488011,-66.879193,54.63,54.63
Casablanca,33.592779,-7.619157,58.61,58.61
Chicago,41.850033,-87.6500523,91.07,91.07
Cleveland,41.4994954,-81.6954088,89.60,89.60
Colombo,6.9319444,79.8477778,48.53,48.53
Copenhagen,55.6759389273,12.5655269623,93.78,93.78
Dakar,14.693700488,-17.4440574646,48.26,48.26
Dalian,38.9122222,121.6022222,70.93,70.93
Damascus,33.5101981468,36.2912750244,52.53,52.53
Detroit,42.331427,-83.0457538,90.72,90.72
Dhaka,23.7103956166,90.4074382782,38.68,38.68
Doha,25.2793155117,51.5224456787,70.94,70.94
Douala,4.04826514298,9.70427513123,44.00,44.00
Dubai,25.258172,55.304717,70.06,70.06
Dublin,53.3439928822,-6.26718521118,89.46,89.46
Dusseldorf,51.2217225724,6.77616119385,91.42,91.42
Frankfurt,50.1166667,8.6833333,94.72,94.72
Geneva,46.202215698,6.14569187164,95.23,95.23
Guangzhou,23.1166667,113.25,69.80,69.80
Guatemala City,14.6407249849,-90.5132675171,58.30,58.30
Hamburg,53.55,10.0,95.05,95.05
Hanoi,21.0245047713,105.841169357,54.20,54.20
Harare,-17.8293511419,31.0538864136,38.73,38.73
Helsinki,60.1695247445,24.9354457855,95.96,95.96
Ho Chi Minh City,10.75,106.6666667,52.44,52.44
Hong Kong,22.2855225818,114.157691002,92.01,92.01
Honolulu,21.3069444,-157.8583333,92.82,92.82
Houston,29.7632836,-95.3632715,89.52,89.52
Istanbul,41.0138429552,28.9496612549,60.34,60.34
Jakarta,-6.21462319704,106.84513092,54.58,54.58
Jeddah,21.516944,39.219167,58.53,58.53
Johannesburg,-26.2022699475,28.0436325073,69.06,69.06
Karachi,24.9056,67.0822,40.85,40.85
Kathmandu,27.7016918661,85.3205966949,50.58,50.58
Kiev,50.4546624399,30.5237960815,69.18,69.18
Kuala Lumpur,3.14120171805,101.686534882,73.98,73.98
Kuwait City,29.3697222,47.9783333,69.58,69.58
Lagos,6.4530556,3.3958333,38.97,38.97
Lexington,37.9886892,-84.4777153,85.43,85.43
Lima,-12.0431818993,-77.0282363892,72.93,72.93
Lisbon,38.7166667,-9.1333333,86.52,86.52
London,51.5085287759,-0.125741958618,87.16,87.16
Los Angeles,34.0522342,-118.2436849,89.80,89.80
Lusaka,-15.4066856361,28.2871341705,51.84,51.84
Luxembourg,49.75,6.1666667,93.28,93.28
Lyon,45.748457,4.846711,91.27,91.27
Madrid,40.4165020942,-3.7025642395,90.93,90.93
Manchester,53.4809464284,-2.23743438721,88.77,88.77
Manila,14.6042,120.9822,61.99,61.99
Melbourne,-37.8139965642,144.963322878,97.53,97.53
Mexico City,19.428472427,-99.127664566,61.97,61.97
Miami,25.7742658,-80.1936589,91.07,91.07
Milan,45.464269381,9.18950557709,89.52,89.52
Minneapolis,44.9799654,-93.2638361,89.80,89.80
Montevideo,-34.833461543,-56.167345047,79.11,79.11
Montreal,45.5088375,-73.587809,94.83,94.83
Moscow,55.7522222,37.6155556,78.41,78.41
Mumbai,19.0144100169,72.8479385376,56.92,56.92
Munich,48.1374325498,11.5754914284,92.58,92.58
Muscat,23.6133333,58.5933333,72.03,72.03
Nairobi,-1.2833333,36.8166667,51.88,51.88
New Delhi,28.6357601315,77.224445343,58.59,58.59
New York,40.7142691,-74.0059729,86.61,86.61
Nouméa,-22.276309603,166.457204819,78.51,78.51
Osaka,34.6937398415,135.502181947,95.17,95.17
Oslo,59.91273,10.74609,93.41,93.41
Panama City,8.99360046428,-79.5197296143,67.79,67.79
Paris,48.85341,2.3488,94.84,94.84
Perth,-31.9333333,115.8333333,95.91,95.91
Phnom Penh,11.56245,104.916006,51.37,51.37
Pittsburgh,40.4406248,-79.9958864,92.27,92.27
Port Moresby,-9.44313514657,147.179718018,38.91,38.91
Prague,50.0880428939,14.4207572937,84.02,84.02
Pretoria,-25.7448585818,28.187828064,68.00,68.00
Qingdao,36.0986111,120.3719444,66.98,66.98
Quito,-0.2298539672,-78.5249519348,61.10,61.10
Reykjavik,64.1354756237,-21.8954086304,88.05,88.05
Rio de Janeiro,-22.90277778,-43.2075,69.09,69.09
Riyadh,24.68773227,46.7218494415,60.34,60.34
Rome,41.8947384617,12.4839019775,88.99,88.99
San Francisco,37.7749295,-122.4194155,88.67,88.67
San Jose,9.9333333,-84.0833333,75.23,75.23
San Juan,18.4663338,-66.1057217,79.05,79.05
Santiago,-33.4262838491,-70.5665588379,80.67,80.67
Sao Paulo,-23.5475,-46.63611111,69.13,69.13
Seattle,47.6062095,-122.3320708,90.03,90.03
Seoul,37.5682561389,126.977834702,85.94,85.94
Shanghai,31.2222222,121.4580556,73.75,73.75
Shenzhen,22.545537664,114.06829834,72.76,72.76
Singapore,1.3666667,103.8,88.74,88.74
Sofia,42.6975135282,23.3241462708,70.49,70.49
St Petersburg,59.8944444,30.2641667,78.53,78.53
Stockholm,59.3325765362,18.0649030209,95.00,95.00
Suzhou,31.3113889,120.6180556,75.35,75.35
Sydney,-33.8678499639,151.207323074,96.11,96.11
Taipei,25.047763,121.531846,83.87,83.87
Tashkent,41.264646436,69.2162704468,55.85,55.85
Tehran,35.6943887761,51.4215087891,45.76,45.76
Tel Aviv,32.080883,34.780572,74.23,74.23
Tianjin,39.1422222,117.1766667,75.25,75.25
Tokyo,35.6148836825,139.581298828,94.68,94.68
Toronto,43.700113788,-79.416304194,97.16,97.16
Tripoli,32.8751900769,13.187456131,42.89,42.89
Tunis,34.0,9.0,62.64,62.64
Vancouver,49.249657393,-123.119340403,97.32,97.32
Vienna,48.2084877602,16.3720750809,97.36,97.36
Warsaw,52.2297708747,21.0117816925,78.18,78.18
Washington DC,38.8951118,-77.0363658,91.23,91.23
Wellington,-41.2866428426,174.775571823,93.78,93.78
Zurich,47.3666667,8.55,95.58,95.58
